序号,人群,问题分类,问题名称,原理,方法名称,三字经,方法详情,附件,老年人适用时间段,高精质适用时间段,未孕女性适用时间段,"备孕女性
适用时间段","待产女性
适用时间段","产后女性
适用时间段","已育女性
适用时间段"
24,,精神,精气神,\t用微笑铸造精气神。,微笑,常微笑，心情好，缓压力，精神足。,\t医学研究表明，笑可以刺激人体分泌多巴胺，使人产生欣喜和欢乐感，可以起到缓解压力，释放精神的作用。,/photo/daxiao.jpg,休闲1,,,,,,
25,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,练书法,培兴趣，增情趣，陶情操，养心神。,\t练习书法过程中，陶冶性情的同时还能锻炼身体。当完成一幅满意的作品，会产生一种成功喜悦之感，有益身心健康。,/photo/lainshufa.jpg,休闲2,,,,,,
26,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,插花,培兴趣，增情趣，陶情操，养心神。,\t插花是一种很好的修身养性之道，插花时讲究心平气和，神态专注，举止文明、优雅， 提高精神文化素质和艺术修养、陶冶情操的同时，还可美化生活，增加情趣。,/photo/chahua.jpg,休闲3,,,,,,
27,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,收藏,培兴趣，增情趣，陶情操，养心神。,\t闲暇时做一些心仪的收藏，摩挲把玩藏品，陶醉在奇珍异品中，振奋精神、开阔视野，益于身心。,/photo/shoucang.jpg,休闲3,,,,,,
28,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,下棋,培兴趣，增情趣，陶情操，养心神。,\t下棋是一种静中有动、外静内动的活动，需要凝神静气、全神贯注，神凝则心气平静，专注则杂念全消；而棋局的变化，可以锻炼人的应变能力，既是一种休息、消遣，也是一种益智养性的活动。,/photo/xiaqi.jpg,休闲2,,,,,,
29,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,舞剑,培兴趣，增情趣，陶情操，养心神。,\t舞剑的动作舒缓柔和，可修身养性、陶冶情操。,/photo/wujian.jpg,休闲3,,,,,,
30,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,唱歌,培兴趣，增情趣，陶情操，养心神。,\t唱歌时有意识地控制气息，达到锻炼胸腹部效果，尤其是老歌能给老人们带来美好的回忆，能激起他们对生活的热爱。同时唱歌、唱戏时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge.jpg,休闲1,,,,,,
31,,精神,精气神,\t培养广泛的兴趣爱好，不仅增加生活情趣，还能修身养性、陶冶情操、养心怡神。,养花草,培兴趣，增情趣，陶情操，养心神。,\t花草是一种恬静、美好的生命，在养殖的过程中，需要定期给他们浇浇水、剪剪枝、换换土，对我们来说就是一套“韵律操”，对身心都有益。,/photo/yanghuacao.jpg,休闲2,,,,,,
32,,精神,精气神,\t读书能增长知识，陶冶性情，找到精神寄托。医学专家认为无论阅读或朗诵，都有增强肺功能之效，且能活跃思维，是一种健身强脑的"良药"。,读书,常读书，获知识，增情趣，愉身心。,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu1.png,休闲4,,,,,,
33,,精神,精气神,"\t书画与太极拳有相通之处,与气功有异曲同工之效。欣赏时需心平气静，使大脑“入静”，具有静心养性，延年益寿的功效。",欣赏书法,赏书画，同太极，使入静，养心神。,"\t好的书法可以赏心悦目,给人以美的享受，令人在其中，心境也会随之得到一种超然与净化，使心情舒畅，达到养生的效果。",/photo/shufa.jpg,休闲3,,,,,,
34,,精神,精气神,"\t书画与太极拳有相通之处,与气功有异曲同工之效。欣赏时需心平气静，使大脑“入静”，具有静心养性，延年益寿的功效。",赏画,赏书画，同太极，使入静，养心神。,\t赏画除了能开阔心胸和眼界、调节心情、减少烦躁和焦虑外，还可通过欣赏绘画作品的特点和画技，增强老人大脑的活跃度，益智延年。,/photo/huazhan.jpg,休闲4,,,,,,
35,,精神,精气神,\t曲艺是作为传统文化，在倾听时除了感受美的享受外，更能带来美好回忆，净化心境，愉悦心情，激起对生活的热爱。,听戏曲,听曲艺，善回忆，净心灵，愉心情。,\t三、五志同道合老人聚到一起，找一个安静的去处，或公园里，或庭院中，或家里，锣鼓家什京胡二胡一色辅开，一曲“我正在城楼观风景，忽听得城外乱纷纷”，趣味无穷！,/photo/changxi.jpg,休闲2,,,,,,
36,,精神,精气神,\t曲艺是作为传统文化，在倾听时除了感受美的享受外，更能带来美好回忆，净化心境，愉悦心情，激起对生活的热爱。,听相声,听曲艺，善回忆，净心灵，愉心情。,\t听相声常引发笑声一片，笑的好处有很多。挪威科学技术大学一项研究成果显示，笑可以使人产生更多的保护性荷尔蒙，调节血压，减小压力，增强免疫系统。,/photo/xiangsheng.jpg,休闲1,,,,,,
37,,精神,自卑感,\t利用积极的言语、行为进行自我暗示，是用心理学中的潜意识来训练自己重拾自信的好方法。,言语暗示,常暗示，正能量，塑自信，效果佳。,\t将头慢慢向后转，然后向前，直到你的下颌贴到你的胸前；先将你的下颌松弛—下，并摇头1钟，接着抬起头，将两手掌放置在面颊上并将头尽量向后转数秒钟。之后直起头对着镜子看自己，同时给面部肌肉一些肯定的暗示：“我是最棒的，我接纳自己。”,/photo/yanyuanshi.jpg,休闲1,,,,,,
38,,精神,自卑感,\t利用积极的言语、行为进行自我暗示，是用心理学中的潜意识来训练自己重拾自信的好方法。,行为暗示,常暗示，正能量，塑自信，效果佳。,\t抬头挺胸快速走路，会给自己一个提示：我是一个重要的人，要去做重要的事情。这种提示会给自己一种心理暗示，帮助自己建立起超凡的信心。,/photo/xingweianshi.jpg,休闲2,,,,,,
39,,精神,自卑感,\t写日记是一个很好的发泄渠道。美国国立卫生院调查显示，写日记可减轻心理压力。,写日记,写日记，易发泄，减压力，助分析。,\t当产生不开心的事情时，通过把心情写在日记里，可以宣泄不良情绪，也有助于分析事情的前因后果。,/photo/xieriji.jpg,休闲3,,,,,,
40,,精神,自卑感,\t微笑能给人自信，它是医治信心不足的良药。,微笑,常微笑，缓情绪，减痛苦，信心足。,\t微笑的时候，大脑中会释放具有阵痛作用的激素—内啡肽，即便不是发自内心的微笑，做出笑的表情同样能起到平缓情绪的效果。,/photo/daxiao.jpg,休闲4,,,,,,
41,,精神,自卑感,\t美国心理学家表示，照镜子能给人信心。,照镜子,常照镜，眉眼笑，多鼓励，有信心。,\t闲暇时，不妨多照照镜子，看着自己的眼睛，微笑地告诉自己“你看上去真棒”，或想开心的事，体会与心灵对话的美好感觉。,/photo/zhaojingzi.jpg,休闲1,,,,,,
42,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,阅读,多活动，常积累，变积极，排消极。,\t读书可以说是最简单、消费最低的放松的方式，抛开所有烦恼，沉浸在书的世界，不仅可以放松身心，还可以使人增加知识和乐趣。,/photo/kanshu1.jpg,休闲3,,,,,,
43,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,唱歌,多活动，常积累，变积极，排消极。,\t唱歌时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changge.jpg,休闲2,,,,,,
44,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,唱戏,多活动，常积累，变积极，排消极。,\t唱歌时大脑释放的激素，能促进身心愉快，提高免疫能力，是最好的“保健药”。,/photo/changxi.jpg,休闲1,,,,,,
45,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,练书法,多活动，常积累，变积极，排消极。,\t练书法不仅能带来生理状态的松弛，也能帮助心理状态的宁静，有助于排除不良因素的干扰，达到养心安神、调节平衡的作用。,/photo/gangbizi.jpg,休闲3,,,,,,
46,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,涂鸦,多活动，常积累，变积极，排消极。,\t给结构复杂的图形图上自己喜欢的颜色，全身心的投入到色彩的时候，就能接近冥想的状态，内心就会变得简单而单纯。,/photo/tuya.jpg,休闲4,,,,,,
47,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,下棋,多活动，常积累，变积极，排消极。,\t下棋是一种静中有动、外静内动的活动，需要凝神静气、全神贯注，神凝则心气平静，专注则杂念全消。,/photo/xiaqi.jpg,休闲2,,,,,,
48,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,看电影,多活动，常积累，变积极，排消极。,\t电影能牵动人的情绪，其中的情节可令人产生共鸣，甚至能帮助人解开心中的郁结，疗愈一直隐藏在心底的创伤。,/photo/kandianying1.jpg,休闲3,,,,,,
49,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,郊游,多活动，常积累，变积极，排消极。,\t在大自然的怀抱里享受自然的山水风光，领略自然界的美景，必然能使心胸开阔，舒畅坦荡。,/photo/jiaoyou.jpg,休闲1,,,,,,
50,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,做手工,多活动，常积累，变积极，排消极。,\t在做手工时需要聚精会神、专心致志，可排除杂念和消除不良情绪，净化人的心灵，产生愉悦、乐观的精神状态。,/photo/zuoshougong1.jpg,休闲2,,,,,,
51,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,跳舞,多活动，常积累，变积极，排消极。,\t轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu1.jpg,休闲3,,,,,,
52,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,摄影,多活动，常积累，变积极，排消极。,\t摄影一种最放松的全身运动，既锻炼了身体又培养了兴趣，让你对外面的世界充满好奇，保持旺盛的生命力。,/photo/shexiangji.jpg,休闲1,,,,,,
53,,精神,自卑感,\t多做开阔心身的活动，当人积累了足够多的积极的行动之后，人也会自觉的变得积极起来，消极的情绪自然会得到舒缓。,垂钓,多活动，常积累，变积极，排消极。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,休闲2,,,,,,
54,,精神,自卑感,\t休闲运动能帮助我们在娱乐的同时达到运动的效果，坚持锻炼，不仅能强身健体、纤体塑形、排毒养颜，还能增强自信，培养乐观积极的情绪状态。,游泳,常运动，强身体，心情悦，增信心。,\t一旦进入水中，就一心一意享受着水带来的乐趣，将一切烦恼抛到一边，会感到情绪高涨、精力充沛。,/photo/youyong.jpg,休闲2,,,,,,
55,,精神,自卑感,\t休闲运动能帮助我们在娱乐的同时达到运动的效果，坚持锻炼，不仅能强身健体、纤体塑形、排毒养颜，还能增强自信，培养乐观积极的情绪状态。,太极拳,常运动，强身体，心情悦，增信心。,\t太极是一种非竞技类运动，动作如行云流水，能够放松身心，释放正能量。,/photo/taiji.jpg,休闲3,,,,,,
56,,精神,自卑感,\t休闲运动能帮助我们在娱乐的同时达到运动的效果，坚持锻炼，不仅能强身健体、纤体塑形、排毒养颜，还能增强自信，培养乐观积极的情绪状态。,爬楼梯,常运动，强身体，心情悦，增信心。,\t上下爬楼梯10分钟是良好的护心运动，可改善心肌血液循环，恢复心脏活力，浑身更有劲，提神醒脑，释放压力，放松心情。,/photo/palouti.jpg,休闲3,,,,,,
57,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,摄影,陶性情，消抑郁，心愉悦，燃热情。,\t摄影不仅能排除无聊寂寞感，而且一路走一路拍，是一种最放松的全身运动，既锻炼了身体又培养了兴趣，让你对外面的世界充满好奇，保持旺盛的生命力和健康的心态。,/photo/shexiangji.jpg,休闲1,,,,,,
58,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,下棋,陶性情，消抑郁，心愉悦，燃热情。,\t茶余饭后，出去走走，与棋友切磋一番，沉浸在对弈的乐趣之中，增进友谊，消除孤寂，保持身心舒畅的同时，还可以修身养性，健脑防衰。,/photo/xiaqi.jpg,休闲2,,,,,,
59,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,烹饪,陶性情，消抑郁，心愉悦，燃热情。,\t不但能充实生活，增长自己的菅养知识和烹饪技巧，还能为家人带来健康和美的享受。,/photo/pengren.jpg,休闲2,,,,,,
60,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,郊游,陶性情，消抑郁，心愉悦，燃热情。,\t出去走走看看，在欣赏大自然的美景的同时，用相机记录下来，不仅陶冶情操，愉悦心情，更重要的是从中开阔了视野和锻炼了身体，得到艺术和健康双丰收。,/photo/jiaoyou.jpg,休闲1,,,,,,
61,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,跳舞,陶性情，消抑郁，心愉悦，燃热情。,\t轻松的舞步，矫健的动作，愉快的音乐，能使人心旷神怡，也是一种美的享受。,/photo/tiaowu1.jpg,休闲2,,,,,,
62,,精神,孤独感,\t研究证明，人们在唱歌时，大脑中会释放出一种名叫催产素的荷尔蒙，这种荷尔蒙能使人们之间增进感情。,参加合唱团,合唱团，共交流，心愉悦，减孤独。,\t学习唱歌过程中，老人们通过互相交流，沟通了彼此，互相认同。尤其是参与合唱，还能增加交流，提高社交能力，愉悦心情之余，还能减少孤独感。,/photo/hechangtuan.jpg,休闲3,,,,,,
63,,精神,孤独感,\t在老年大学中，不仅获得知识，满足了爱好，挖掘了潜力，掌握了本领，而且消除了孤独，排出了一些消极的情绪状态，增强了幸福感和生存价值。,上老年大学,上大学，掌本领，消孤独，排烦恼。,\t据调查，96.3%的老年人在完成学业后，还要继续学习其他专业。因为在老年大学中，不仅获得知识，满足了爱好，挖掘了潜力，掌握了本领，而且消除了孤独，排出了一些消极的情绪状态，增强了幸福感和生存价值。,/photo/laoniandaxue.jpg,休闲1,,,,,,
64,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,读书,培兴趣，陶怡情，消抑郁，心愉悦。,\t读书能增长知识，陶冶性情，找到精神寄托。悉心捧读一本好书，自可领略书中深邃的意境，实属妙不可言。医学专家认为无论阅读或朗诵，都有增强肺功能之效，且能活跃思维，是一种健身强脑的"良药"。,/photo/kanshu1.jpg,休闲3,,,,,,
65,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,养宠物,培兴趣，陶怡情，消抑郁，心愉悦。,\t一项研究发现，饲养宠物对老人的身心健康非常有益，而且许多家中养有宠物的人，比不养宠物的人要健康许多，上医院看病的次数也更少，养宠物还可以提高老人的生活能力。,/photo/chongwu.jpg,休闲4,,,,,,
66,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,垂钓,培兴趣，陶怡情，消抑郁，心愉悦。,\t垂钓时，意识完全潜没在鱼漂的一抖一动的意境之中。这时，人的心跳搏动最正常，血压最稳定。只有一小部分的脑神经在运动，大部分脑神经则得到充分休息。这就起到了调节、放松、消除疲劳的作用。,/photo/chuidiao.jpg,休闲1,,,,,,
67,,精神,孤独感,\t培养广泛的兴趣爱好，能陶冶性情、消除抑郁、保持心情愉悦，重燃对生活的热情。,学钢琴,培兴趣，陶怡情，消抑郁，心愉悦。,\t练钢琴需要眼、耳、手、脑、脚等协调运作，能刺激脑神经活动，开发老年人的智力。美妙的琴声使老年人从中获得幸福和快乐，还能提高免疫力，延年益寿。,/photo/gangqin.jpg,休闲2,,,,,,
68,,精神,孤独感,\t约上有几个知心朋友，大家聚一聚，一壶清茶、一杯咖啡，谈谈自己的最近生活和变化。,会旧友,会旧友，谈变化，心减负，得感悟。,\t和旧友会面，聊聊天，说说各自的变化，给心灵来个“减负”，有时还会从交流中得到不少人生感悟。,/photo/huijiuyou.jpg,休闲3,,,,,,
69,,精神,空虚感,\t参加义工不仅能让自己“宝刀未老”，内心还能获得被尊重和被需要感，从而活得更加有滋有味、丰富多彩。,参加义工，发挥余热,做义工，发余热，益健康，更充实。,\t美国科学家经过长达26年的跟踪调查发现，早退休与长寿之间并没有联系，那些晚几年再退休或者退休后继续找点工作干发挥余热的人，活得更加健康长寿。,/photo/yigong.jpg,休闲1,,,,,,
70,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,听戏曲,培兴趣，使充实，消抑郁，愉身心。,\t三、五志同道合老人聚到一起，找一个安静的去处，或公园里，或庭院中，或家里，锣鼓家什京胡二胡一色辅开，一曲“我正在城楼观风景，忽听得城外乱纷纷”，趣味无穷！,/photo/changxi.jpg,休闲2,,,,,,
71,,精神,空虚感,\t培养广泛的兴趣爱好，使生活充实起来，能陶冶性情、消除抑郁、保持心情愉悦。,听相声,培兴趣，使充实，消抑郁，愉身心。,\t听相声常引发笑声一片，笑的好处有很多。挪威科学技术大学一项研究成果显示，笑可以使人产生更多的保护性荷尔蒙，调节血压，减小压力，增强免疫系统。,/photo/xiangsheng.jpg,休闲3,,,,,,
